function	sqrt(N)	time	P
multipleMPISends	16	0.104940	16
mpiPack	16	0.010672	16
mpiDerived	16	0.009899	16
multipleMPISends	16	0.091056	16
mpiPack	16	0.012013	16
mpiDerived	16	0.010258	16
multipleMPISends	16	0.091778	16
mpiPack	16	0.011601	16
mpiDerived	16	0.009335	16
multipleMPISends	16	0.123444	16
mpiPack	16	0.023821	16
mpiDerived	16	0.020516	16
multipleMPISends	16	0.113142	16
mpiPack	16	0.020390	16
mpiDerived	16	0.009412	16
multipleMPISends	32	0.172981	16
mpiPack	32	0.014439	16
mpiDerived	32	0.010892	16
multipleMPISends	32	0.217233	16
mpiPack	32	0.033507	16
mpiDerived	32	0.015620	16
multipleMPISends	32	0.172236	16
mpiPack	32	0.014220	16
mpiDerived	32	0.010478	16
multipleMPISends	32	0.335356	16
mpiPack	32	0.013427	16
mpiDerived	32	0.014364	16
multipleMPISends	32	0.167959	16
mpiPack	32	0.014440	16
mpiDerived	32	0.010263	16
multipleMPISends	64	0.444801	16
mpiPack	64	0.020370	16
mpiDerived	64	0.014468	16
multipleMPISends	64	0.358425	16
mpiPack	64	0.021239	16
mpiDerived	64	0.014481	16
multipleMPISends	64	0.503301	16
mpiPack	64	0.104418	16
mpiDerived	64	0.059145	16
multipleMPISends	64	0.517740	16
mpiPack	64	0.022920	16
mpiDerived	64	0.015856	16
multipleMPISends	64	0.445378	16
mpiPack	64	0.020764	16
mpiDerived	64	0.014655	16
multipleMPISends	128	0.641682	16
mpiPack	128	0.040351	16
mpiDerived	128	0.028676	16
multipleMPISends	128	0.760282	16
mpiPack	128	0.053849	16
mpiDerived	128	0.033385	16
multipleMPISends	128	0.730366	16
mpiPack	128	0.040977	16
mpiDerived	128	0.029999	16
multipleMPISends	128	0.761544	16
mpiPack	128	0.144888	16
mpiDerived	128	0.057734	16
multipleMPISends	128	0.691220	16
mpiPack	128	0.041570	16
mpiDerived	128	0.029287	16
multipleMPISends	256	1.708094	16
